Rank	Taxonpath	Taxon	ERR1906857	ERR1906860	ERR1906867
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	Rhodospirillales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales	Acetobacterales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales	Reyranellales	None	None	2.0
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales	Thalassobaculales	None	2.0	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales	Rhodovibrionales	None	4.0	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales	Tistrellales	None	None	1.0
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales	Dongiales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	None	1.0	1.0
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales	Desulfuromonadales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	Desulfobacterales	3.0	1.0	None
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;NB1-j	NB1-j	None	1.0	1.0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Streptosporangiales	Streptosporangiales	None	None	1.0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micromonosporales	Micromonosporales	None	None	1.0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micrococcales	Micrococcales	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Frankiales	Frankiales	None	None	2.0
phylum	Main genome;Bacteria;Actinobacteria;Coriobacteriia;OPB41	OPB41	None	None	1.0
phylum	Main genome;Bacteria;Actinobacteria;Thermoleophilia;Gaiellales	Gaiellales	None	None	None
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales	Microtrichales	None	None	3.0
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales	Actinomarinales	1.0	None	None
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales	Sphingobacteriales	3.0	None	3.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales	Flavobacteriales	8.0	3.5	9.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	Bacteroidales	7.0	None	6.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales	Chitinophagales	9.0	1.0	12.0
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	Cytophagales	5.0	None	10.5
phylum	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22	Bacteroidetes VC2.1 Bac22	None	None	None
phylum	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales	Clostridiales	2.0	None	None
phylum	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales	Nostocales	None	3.0	None
phylum	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales	Synechococcales	2.0	None	None
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales	Opitutales	1.0	None	None
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	Verrucomicrobiales	None	None	3.0
phylum	Main genome;Bacteria;Nitrospirae;Nitrospira;Nitrospirales	Nitrospirales	None	None	1.0
phylum	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales	Campylobacterales	None	None	None
phylum	Main genome;Bacteria;Acidobacteria;Acidobacteriia;Solibacterales	Solibacterales	1.0	1.0	3.0
phylum	Main genome;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Blastocatellales	Blastocatellales	None	None	5.5
phylum	Main genome;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);Pyrinomonadales	Pyrinomonadales	None	None	1.0
phylum	Main genome;Bacteria;Chloroflexi;Dehalococcoidia;S085	S085	None	None	1.0
